------Emission Probability------
packed VBN 0.000504286434695
bundle NN 3.71581450654e-05
completed VBN 0.00176500252143
flickering VBG 0.0003003003003
predator NN 7.43162901308e-05
expired JJ 8.62663906142e-05
accepted VBN 0.00201714573878
keys NNS 0.000237107291049
headquarters NNS 0.000592768227623
arab JJ 0.0018115942029
04:50 CD 0.00025025025025
39938 CD 0.00025025025025
04/28/2000 CD 0.00025025025025
spot VB 0.000105529759392
kind NN 0.00100326991677
stones NNPS 0.0100401606426
though IN 0.00202683138693
amused JJ 8.62663906142e-05
armored JJ 0.000172532781228
worthwhile JJ 0.000258799171843
steadily RB 9.23361034164e-05
fulfilling VBG 0.000600600600601
privatized VBN 0.000252143217347
meant VB 0.000105529759392
addition NNP 8.03277371676e-05
flies VBZ 0.000218435998253
atlanta NNP 0.000642621897341
catch VB 0.000633178556353
stephanie NNP 0.000722949634509
charges NNS 0.000711321873148
individually RB 0.000277008310249
flakes NNS 0.000592768227623
composition NN 7.43162901308e-05
booth NNP 8.03277371676e-05
elliotts NNPS 0.00200803212851
conflict NN 0.00048305588585
coke NNP 8.03277371676e-05
command NN 0.000222948870392
copied VBN 0.000504286434695
bolder JJR 0.00198807157058
credence NN 7.43162901308e-05
rip NN 7.43162901308e-05
general JJ 0.00146652864044
changes NNS 0.00414937759336
thigh NN 3.71581450654e-05
throw VBP 0.000372162262747
defined VBN 0.00126071608674
strike NN 0.000111474435196
passport NN 0.000185790725327
byargeon NNP 8.03277371676e-05
ensuring VBG 0.000600600600601
spanned VBD 0.000185082361651
dismisses VBZ 0.000218435998253
strut VB 0.000105529759392
borenste@haas.berkeley.edu ADD 0.00342465753425
lets VBZ 0.000436871996505
wonder NNP 8.03277371676e-05
zafra NNP 8.03277371676e-05
corps NN 7.43162901308e-05
it IN 4.8257890165e-05
receptionist NN 0.000185790725327
shi'ite JJ 0.000345065562457
comex NNP 8.03277371676e-05
encouragement NN 3.71581450654e-05
shoe NN 0.000185790725327
pigs NNS 0.000355660936574
affords VBZ 0.000218435998253
creating VBG 0.0027027027027
icdc NNPS 0.00200803212851
sweety NN 3.71581450654e-05
whatnot NN 3.71581450654e-05
tutorial NN 7.43162901308e-05
youre PRP$ 0.000325945241199
amman NNP 8.03277371676e-05
planet NN 0.000222948870392
steep VBP 0.000186081131373
intellectuals NNS 0.000237107291049
gop NNP 0.000240983211503
lme NNP 0.000240983211503
symbols NNS 0.000118553645525
parisian JJ 0.000172532781228
tundra NN 3.71581450654e-05
dna NN 3.71581450654e-05
russell GW 0.00340136054422
christ UH 0.00145137880987
crashes VBZ 0.000436871996505
beatle NNP 8.03277371676e-05
next JJ 0.00819530710835
diarrhea NN 0.000111474435196
castagnola@enron_development ADD 0.00342465753425
poisonous NNP 8.03277371676e-05
oz. NN 3.71581450654e-05
princeton NNP 0.000160655474335
pamplona NNP 8.03277371676e-05
shelters VBZ 0.000218435998253
nasa NNP 0.00321310948671
kitchen NNP 0.000240983211503
spooky JJ 8.62663906142e-05
hit NN 3.71581450654e-05
09 CD 0.000750750750751
someon NN 3.71581450654e-05
beg VBP 0.000186081131373
http://www.tecsoc.org/pubs/history/2002/apr26.htm ADD 0.00342465753425
opossums NNS 0.000237107291049
crate NN 0.000260107015458
lessons NNPS 0.00401606425703
dangerous JJ 0.0018115942029
span VB 0.000105529759392
sleeping VBG 0.0003003003003
lihaib NNP 8.03277371676e-05
looked VBN 0.000252143217347
wise JJ 0.000345065562457
thwarted VBN 0.000504286434695
videotape NN 3.71581450654e-05
responding VBG 0.000600600600601
wierd JJ 8.62663906142e-05
substituted VBN 0.000252143217347
bunch NN 0.000297265160523
related JJ 0.00163906142167
argentina NNP 0.000642621897341
generic JJ 0.000258799171843
shaken VBN 0.000252143217347
batter NN 3.71581450654e-05
bidders NNS 0.000237107291049
second RB 0.000738688827331
skies NNPS 0.00200803212851
700 CD 0.000750750750751
lack VBP 0.00055824339412
learns VBZ 0.000218435998253
duct NNP 0.000160655474335
flown VBN 0.000504286434695
preserving VBG 0.0003003003003
hornet NN 3.71581450654e-05
strzalka NNP 0.000160655474335
apostle NNP 8.03277371676e-05
engage VBP 0.000186081131373
ranks NNS 0.000118553645525
http://www.disinfo.com/archive/pages/dossier/id334/pg1/ ADD 0.00342465753425
irrelevant JJ 8.62663906142e-05
awhile RB 0.000184672206833
shrewd JJ 8.62663906142e-05
sign NN 0.000408739595719
archibald NNP 0.00144589926902
mexican JJ 0.000431331953071
schemes NNS 0.000118553645525
upper JJ 0.000258799171843
openly RB 0.000461680517082
announce VB 0.000105529759392
environmentalists NNS 0.000118553645525
montgomery NNP 0.000321310948671
meghalaya NNP 8.03277371676e-05
byron NNP 8.03277371676e-05
reflect VBP 0.00055824339412
offered VBD 0.00166574125486
defining JJ 8.62663906142e-05
virile JJ 8.62663906142e-05
likes VBZ 0.00152905198777
tucson NNP 8.03277371676e-05
misdirection NN 3.71581450654e-05
offered VBN 0.00201714573878
allah NNP 8.03277371676e-05
complex NN 0.000185790725327
1990s NNS 0.000237107291049
conciliatory JJ 0.000172532781228
969 CD 0.000500500500501
heavier JJR 0.00198807157058
ton NN 0.000148632580262
launch NNP 8.03277371676e-05
4.99 CD 0.00025025025025
hot JJ 0.00198412698413
lik IN 4.8257890165e-05
dab RB 9.23361034164e-05
cynagon NNP 8.03277371676e-05
boxer NN 3.71581450654e-05
out NN 0.000334423305589
heckuvalot NN 3.71581450654e-05
bandar NNP 8.03277371676e-05
hissing VBG 0.0003003003003
grave NN 7.43162901308e-05
1593 CD 0.00025025025025
assortment NN 3.71581450654e-05
sahhaf NNP 8.03277371676e-05
honest JJ 0.00129399585921
british JJ 0.0006038647343
breast NN 0.000111474435196
county NNP 0.000803277371676
orbit NN 0.000148632580262
pho NN 0.000260107015458
ball NN 0.000371581450654
gotschal NNP 8.03277371676e-05
regret VB 0.000527648796961
dark NN 3.71581450654e-05
07:55 CD 0.00025025025025
gimp NNP 0.000401638685838
asi NNP 8.03277371676e-05
true JJ 0.00215665976536
collages NNS 0.000237107291049
recommend VBP 0.00483810941571
airbase NN 3.71581450654e-05
asap RB 0.000923361034164
pillow NN 7.43162901308e-05
worse JJR 0.0238568588469
inquisitive JJ 8.62663906142e-05
ethics NNS 0.000118553645525
dozen NN 0.000148632580262
censor VB 0.000316589278176
leaves VBZ 0.000655307994758
ventilation NN 3.71581450654e-05
$ NNS 0.000237107291049
uncle NN 0.000111474435196
court NNP 0.000963932846012
dongle NN 0.000111474435196
meal NN 0.000594530321046
changed VBN 0.00327786182552
copeland NNP 8.03277371676e-05
tenet NNP 8.03277371676e-05
casual JJ 8.62663906142e-05
handle VBP 0.000372162262747
individuals NNS 0.000711321873148
beating NN 3.71581450654e-05
even VB 0.000105529759392
clues NNS 0.000118553645525
changed VBD 0.00148065889321
1908 CD 0.00025025025025
means VBZ 0.00786369593709
never RB 0.0138504155125
copying VBG 0.0003003003003
adorned VBN 0.000252143217347
3,300,000 CD 0.00025025025025
guilty JJ 0.000345065562457
him PRP 0.0237021241696
disregard NN 7.43162901308e-05
1st NN 0.000111474435196
shows NNS 0.0014226437463
puppet NN 7.43162901308e-05
08/16/2000 CD 0.00025025025025
robert NNP 0.000963932846012
stomach NN 0.000111474435196
pretended VBD 0.000185082361651
rocca NNP 8.03277371676e-05
globalsecurity.org ADD 0.00342465753425
reflective JJ 8.62663906142e-05
brainer NN 3.71581450654e-05
non AFX 0.0625
giant NN 3.71581450654e-05
detect VB 0.000105529759392
supposedly RB 0.000461680517082
adapted VBN 0.000252143217347
inc NNP 0.000240983211503
operational JJ 0.000345065562457
06/01/2000 CD 0.00025025025025
camp VB 0.000105529759392
fixing NN 3.71581450654e-05
often RB 0.00304709141274
alt.animals.tiger NN 3.71581450654e-05
publications NNS 0.000355660936574
brendan NNP 8.03277371676e-05
that WDT 0.563291139241
reports NNS 0.00296384113811
husbands NNS 0.000237107291049
hell NN 0.000297265160523
herd NN 7.43162901308e-05
maarten NNP 8.03277371676e-05
shovel NN 3.71581450654e-05
fond JJ 8.62663906142e-05
mo NN 3.71581450654e-05
skeptical JJ 8.62663906142e-05
preferring VBG 0.0003003003003
specialist NN 0.000334423305589
label NN 7.43162901308e-05
sounded VBN 0.000252143217347
alterations NNS 0.000237107291049
wellington NNP 8.03277371676e-05
marval NNP 8.03277371676e-05
infested VBN 0.000252143217347
lip NN 3.71581450654e-05
title NN 0.000260107015458
absurd JJ 0.000172532781228
christmas NNP 0.000803277371676
derailing NN 3.71581450654e-05
conceivable JJ 8.62663906142e-05
assembly NNP 0.000240983211503
truth NN 0.000445897740785
hamilton NNP 0.000240983211503
http://www.ibrae.ac.ru/ibrae/eng/chernobyl/nat_rep/nat_repe.htm#24 ADD 0.00342465753425
nicaragua NNP 8.03277371676e-05
chairman NNP 0.000401638685838
group NNP 0.00104426058318
becomes VBZ 0.00109217999126
proliferate VBP 0.000186081131373
overtime RB 9.23361034164e-05
loved VBD 0.00203590597816
01:00:51 CD 0.00025025025025
decompose VB 0.000105529759392
highest RBS 0.00591715976331
perform VB 0.000211059518784
scope NN 3.71581450654e-05
belongs VBZ 0.000436871996505
reporter NN 0.000260107015458
pursue VB 0.000211059518784
worldwide RB 0.000461680517082
counters NNS 0.000237107291049
'' '' 0.0178343949045
guests NNS 0.00106698280972
seinfeld NNP 8.03277371676e-05
coz IN 4.8257890165e-05
hearing VBG 0.0018018018018
supersonic JJ 8.62663906142e-05
gu'ud NNP 0.000240983211503
maximum NN 3.71581450654e-05
mecca NNP 0.000160655474335
stop VBP 0.000744324525493
remainder NN 0.000111474435196
coastline NN 3.71581450654e-05
ahmad NNP 8.03277371676e-05
510-642-3689 CD 0.00025025025025
pager NN 0.000148632580262
roll VB 0.000316589278176
acupuncture NN 0.000185790725327
non-stop RB 9.23361034164e-05
leahy NNP 0.000562294160174
appropriations NNPS 0.00803212851406
damage NN 0.000408739595719
cell NN 0.000371581450654
greedy JJ 8.62663906142e-05
preorder NN 0.000111474435196
exploded VBD 0.000185082361651
jubur NNP 8.03277371676e-05
flights NNS 0.000355660936574
wool NN 3.71581450654e-05
126 CD 0.00025025025025
collage NN 7.43162901308e-05
3 LS 0.136752136752
panda NNP 8.03277371676e-05
spears NNP 0.000160655474335
houson NNP 8.03277371676e-05
humming VBG 0.000600600600601
lady NNP 8.03277371676e-05
where WRB 0.13003452244
take NN 0.000222948870392
punk NN 3.71581450654e-05
2.3 CD 0.00025025025025
you PRP$ 0.00391134289439
votaw NNP 8.03277371676e-05
passenger NN 7.43162901308e-05
charles NNP 0.000321310948671
< -LRB- 0.0411099691675
skip VB 0.000316589278176
prod NN 7.43162901308e-05
communicating VBG 0.0003003003003
eg. FW 0.010752688172
gas NNP 0.00104426058318
park NNP 0.000481966423006
suicide NN 0.00104042806183
co NNP 0.000160655474335
kiyani NNP 8.03277371676e-05
force VB 0.000633178556353
de' NNP 8.03277371676e-05
ministry NNP 0.000240983211503
hereby RB 0.000184672206833
..... , 0.00136527243391
investor NN 3.71581450654e-05
deepen VB 0.000105529759392
surprises NNS 0.000237107291049
delegation NN 3.71581450654e-05
sheeting VBG 0.0003003003003
insight NN 7.43162901308e-05
2nd JJ 0.000258799171843
bathing NN 3.71581450654e-05
izakaya NN 3.71581450654e-05
damn NN 3.71581450654e-05
glaring JJ 0.000172532781228
wording NN 0.000148632580262
sell VB 0.00126635711271
anbar NNP 0.000240983211503
burdensome JJ 8.62663906142e-05
war NN 0.00200653983353
principally RB 9.23361034164e-05
securities NNPS 0.00803212851406
quietly RB 0.000277008310249
se NNP 8.03277371676e-05
appear VBP 0.000186081131373
mollifying VBG 0.0003003003003
islamic JJ 0.000258799171843
lineatus NNP 8.03277371676e-05
shorten VB 0.000105529759392
behind RB 0.000184672206833
kueck NNP 0.000160655474335
shedding VBG 0.0003003003003
uss NNP 0.000401638685838
fed VBN 0.000504286434695
shake VB 0.000105529759392
abolish VB 0.000105529759392
11/10/2000 CD 0.00125125125125
notify VB 0.000422119037569
patel@enron ADD 0.00342465753425
cursor NN 0.000111474435196
j NNP 8.03277371676e-05
wheel NNP 8.03277371676e-05
speed NN 0.000334423305589
id NN 0.000260107015458
x.x NFP 0.00295857988166
centimetre NN 7.43162901308e-05
hosted VBN 0.00100857286939
peacekeepers NNS 0.000118553645525
hers PRP 0.000164028540966
uterine NN 3.71581450654e-05
wasted VBN 0.000756429652042
emotions NNS 0.000118553645525
chartering VBG 0.0003003003003
raw NNP 0.000240983211503
set VB 0.00147741663149
gulbuddin NNP 8.03277371676e-05
dartmouth NNP 0.000240983211503
ted.bockius@ivita.com ADD 0.00342465753425
undesirable JJ 8.62663906142e-05
pasquallie NNP 8.03277371676e-05
chief NNP 0.000321310948671
spine NN 0.000111474435196
perfume NN 7.43162901308e-05
urge VB 0.000105529759392
inequities NNS 0.000118553645525
conservation NN 3.71581450654e-05
button NN 0.000185790725327
geopolitics NNS 0.000118553645525
sheraton NNP 8.03277371676e-05
trademarks VBZ 0.000218435998253
postmaster NNP 8.03277371676e-05
718-780-0046 CD 0.00025025025025
bad RB 0.000277008310249
adults NNS 0.00177830468287
intermarrying VBG 0.0003003003003
wolens NNP 8.03277371676e-05
site NN 0.00111474435196
advert NN 3.71581450654e-05
mailing VBG 0.0003003003003
border NN 0.00048305588585
chernobyl NNP 0.00128524379468
tee JJ 8.62663906142e-05
acknowledges VBZ 0.000218435998253
mid-august NN 3.71581450654e-05
greco NNP 8.03277371676e-05
16 CD 0.00500500500501
brickell NNP 0.000160655474335
stream NN 0.000185790725327
too TO 0.000608642726719
wavy JJ 0.000172532781228
disruptive JJ 8.62663906142e-05
2001 CD 0.011011011011
grandfather NN 3.71581450654e-05
or CC 0.106567164179
access VB 0.000422119037569
level NN 0.00133769322235
persian NNP 0.000481966423006
apply VB 0.00200506542845
plus NNP 0.000160655474335
egyptian NNP 0.000401638685838
contractual JJ 0.000172532781228
periods NNS 0.000711321873148
squarely RB 9.23361034164e-05
fixed VBD 0.00166574125486
usda NNP 8.03277371676e-05
fixed VBN 0.00378214826021
empty JJ 0.000345065562457
cleaner NN 0.000111474435196
pawing VBG 0.0003003003003
negotiated VBN 0.00176500252143
issuing VBG 0.0003003003003
us PRP 0.0138604117116
cal NNP 0.000160655474335
nurtured VBN 0.000252143217347
sanders NNP 0.000481966423006
games NNS 0.00130409010077
negotiated VBD 0.000185082361651
winning VBG 0.0012012012012
plenty NN 0.000668846611177
wayne GW 0.00340136054422
manhunt NN 3.71581450654e-05
hub NN 3.71581450654e-05
ultimate JJ 0.000345065562457
marks VBZ 0.000218435998253
surveillance NN 0.000148632580262
as IN 0.0365794807451
note NN 0.000928953626635
sec NNP 8.03277371676e-05
cards NNS 0.000948429164197
pc NN 3.71581450654e-05
aeronautics NNPS 0.00200803212851
predictions NNS 0.000118553645525
charter NNP 8.03277371676e-05
alt.animals NN 3.71581450654e-05
kills VBZ 0.000218435998253
correspondence NN 0.000148632580262
monaco NNP 8.03277371676e-05
sluts NNS 0.000118553645525
ye NN 3.71581450654e-05
humanatarian JJ 8.62663906142e-05
lead VB 0.00105529759392
whore NNP 0.000160655474335
respondents NNS 0.000118553645525
petersburg NNP 8.03277371676e-05
1969 CD 0.001001001001
subpoenas NNS 0.000355660936574
bagels NNS 0.000237107291049
qadoos NNP 0.000321310948671
employable JJ 8.62663906142e-05
curtains NNS 0.000355660936574
program NNP 8.03277371676e-05
lethal JJ 0.000172532781228
frankly RB 0.000184672206833
ideological JJ 8.62663906142e-05
everything NN 0.00222948870392
boxes NNS 0.000355660936574
regading VBG 0.0003003003003
713-546-5000 CD 0.00025025025025
blanco NNP 0.000321310948671
exist VB 0.000316589278176
adn CC 0.000149253731343
spa NN 0.000148632580262
pacify VB 0.000105529759392
your GW 0.00340136054422
esa NN 3.71581450654e-05
orange NN 3.71581450654e-05
shifting VBG 0.0003003003003
thirdly RB 9.23361034164e-05
reserves VBZ 0.000655307994758
hikmetyar NNP 8.03277371676e-05
dialing VBG 0.0003003003003
masquerade NN 3.71581450654e-05
showed VBN 0.000252143217347
gap NN 3.71581450654e-05
20s NNS 0.000237107291049
thur. NNP 0.000160655474335
birds NNS 0.00154119739182
forgotten VBN 0.000252143217347
smithjones@ev1.net ADD 0.00684931506849
save VBD 0.000185082361651
grrrrrrr UH 0.00145137880987
ld2d-#69334-1.doc NN 7.43162901308e-05
abuse NN 0.000260107015458
smashed JJ 8.62663906142e-05
linguists NNS 0.000118553645525
handcuffs NN 3.71581450654e-05
.??? . 9.69274013764e-05
diversity NN 0.000111474435196
nato NNP 0.000481966423006
wreathed VBN 0.000252143217347
1964 CD 0.00025025025025
grounds NNS 0.000711321873148
crude JJ 0.000172532781228
scratching NN 3.71581450654e-05
chs NNP 0.000160655474335
sanborn NNP 8.03277371676e-05
al NNP 0.00907703429994
ene NNP 0.000321310948671
elsewise RB 9.23361034164e-05
discretion NN 7.43162901308e-05
trick NN 7.43162901308e-05
11/29/2000 CD 0.00175175175175
mauled VBN 0.000252143217347
international NNP 0.00168688248052
promise VBP 0.000930405656866
innkeeper NN 7.43162901308e-05
visualizations NNS 0.000237107291049
gelato NN 3.71581450654e-05
enlightenment NN 3.71581450654e-05
answered VBN 0.00126071608674
tribe NN 0.000222948870392
